0 0 0
1 1 1
2 1 2
4 1 3
5 1 4
6 1 5
24 14 6
26 2 7
29 2 8
32 2 9
33 1 10
53 11 11
55 2 12
56 1 13
60 4 14
62 2 15
63 1 16
95 31 17
143 48 18
238 95 19
332 94 20
477 143 21
622 145 22
769 145 23
917 146 24
1019 102 25
1131 107 26
1235 103 27
1338 103 28
1444 104 29
1548 104 30
1651 103 31
1754 103 32
1860 104 33
1963 103 34
2066 103 35
2168 102 36
2273 104 37
2375 102 38
2475 100 39
2576 101 40
2650 73 41
2721 71 42
2793 70 43
2864 71 44
2935 71 45
3005 70 46
3075 70 47
3146 71 48
3217 71 49
3290 73 50
