0 0 0
3 3 0
5 2 1
9 4 2
18 9 3
25 7 4
29 4 5
31 2 6
33 2 7
36 3 8
44 8 9
54 10 10
64 10 11
76 12 12
89 13 13
104 15 14
119 15 15
137 18 16
155 18 17
175 20 18
197 22 19
217 20 20
240 23 21
265 25 22
290 25 23
317 27 24
346 29 25
379 33 26
414 35 27
448 34 28
483 35 29
520 37 30
560 40 31
603 43 32
647 44 33
701 54 34
762 61 35
821 59 36
887 66 37
956 69 38
1032 76 39
1114 82 40
1139 25 41
1172 33 42
1206 34 43
1241 35 44
1280 39 45
1319 39 46
1360 41 47
1403 43 48
1450 47 49
1499 49 50
1552 53 51
1608 56 52
1669 61 53
1732 63 54
1796 64 55
1864 68 56
1933 69 57
2004 71 58
2078 74 59
2155 77 60
2233 78 61
2313 80 62
2397 84 63
2482 85 64
2570 88 65
2660 90 66
2753 93 67
2850 97 68
2948 98 69
