0 0 0
3 3 1
5 2 2
6 1 3
10 1 4
23 5 5
26 1 6
31 2 7
32 1 8
34 1 9
44 8 10
54 10 11
63 9 12
74 10 13
89 13 14
103 14 15
119 15 16
135 16 17
155 18 18
175 20 19
195 20 20
216 19 21
240 23 22
265 25 23
290 25 24
317 27 25
345 28 26
376 30 27
414 35 28
448 34 29
483 35 30
520 37 31
560 40 32
602 42 33
646 43 34
699 52 35
753 52 36
821 59 37
865 44 38
952 65 39
1030 74 40
1081 49 41
1139 25 42
1171 32 43
1205 33 44
1240 34 45
1277 36 46
1318 38 47
0 0 48
1399 39 49
1450 47 50
1498 48 51
1548 49 52
1607 55 53
1668 60 54
1731 62 55
1795 63 56
1864 68 57
1932 68 58
2004 71 59
2076 72 60
2153 75 61
2233 78 62
2313 80 63
2397 84 64
2481 84 65
2570 88 66
2660 90 67
2750 90 68
2846 93 69
2948 98 70
