0 0 0
1 1 1
2 1 2
7 4 3
17 10 4
24 7 5
25 1 6
32 4 7
36 4 8
37 1 9
50 11 10
52 2 11
55 3 12
125 48 13
227 100 14
300 71 15
372 72 16
447 75 17
525 78 18
604 78 19
687 81 20
779 87 21
866 87 22
956 90 23
1050 94 24
1084 34 25
1242 96 26
1334 92 27
1437 98 28
1532 95 29
1629 96 30
1729 99 31
1743 14 32
0 0 33
1854 95 34
0 0 35
1 1 1
19 12 2
22 3 3
35 3 4
37 1 5
49 12 6
50 1 7
54 1 8
173 73 9
316 143 10
420 101 11
523 103 12
633 106 13
744 111 14
860 116 15
984 122 16
1114 128 17
1242 128 18
1374 132 19
1512 138 20
1648 136 21
1789 141 22
1934 145 23
2074 140 24
2223 143 25
2364 141 26
2508 139 27
0 0 28
