0 0 0
5 5 0
16 11 1
35 19 2
47 12 3
60 13 4
74 14 5
89 15 6
105 16 7
122 17 8
140 18 9
159 19 10
179 20 11
200 21 12
222 22 13
245 23 14
269 24 15
294 25 16
320 26 17
347 27 18
375 28 19
404 29 20
433 29 21
463 30 22
495 32 23
528 33 24
562 34 25
598 36 26
634 36 27
672 38 28
710 38 29
749 39 30
789 40 31
830 41 32
872 42 33
915 43 34
959 44 35
1004 45 36
1050 46 37
1097 47 38
1145 48 39
1194 49 40
1244 50 41
1295 51 42
1347 52 43
1401 54 44
1456 55 45
1512 56 46
1569 57 47
1627 58 48
1686 59 49
1746 60 50
1807 61 51
1869 62 52
1932 63 53
1996 64 54
2061 65 55
2127 66 56
2196 69 57
2266 70 58
2335 69 59
