0 0 0
4 4 0
7 3 1
13 6 2
21 8 3
23 2 4
24 1 5
26 2 6
27 1 7
28 1 8
35 7 9
43 8 10
52 9 11
62 10 12
73 11 13
85 12 14
98 13 15
112 14 16
127 15 17
143 16 18
160 17 19
179 19 20
198 19 21
219 21 22
240 21 23
263 23 24
286 23 25
311 25 26
338 27 27
366 28 28
395 29 29
425 30 30
457 32 31
490 33 32
524 34 33
560 36 34
600 40 35
640 40 36
686 46 37
736 50 38
790 54 39
846 56 40
910 64 41
976 66 42
1050 74 43
1126 76 44
1204 78 45
1286 82 46
1309 23 47
1347 38 48
1386 39 49
1429 43 50
1474 45 51
1521 47 52
1570 49 53
1621 51 54
1677 56 55
1735 58 56
1795 60 57
1856 61 58
1919 63 59
