0 0 0
4 4 0
5 1 1
6 1 2
7 1 3
8 1 4
28 20 5
34 6 6
36 2 7
37 1 8
78 41 9
137 59 10
219 82 11
300 81 12
383 83 13
462 79 14
521 59 15
582 61 16
639 57 17
700 61 18
759 59 19
819 60 20
878 59 21
938 60 22
999 61 23
1058 59 24
1117 59 25
1178 61 26
1235 57 27
1292 57 28
1349 57 29
1408 59 30
1469 61 31
1528 59 32
1587 59 33
1647 60 34
1706 59 35
1763 57 36
1820 57 37
1933 113 38
1990 57 39
2045 55 40
2098 53 41
2143 45 42
2182 39 43
2221 39 44
2260 39 45
2301 41 46
2342 41 47
2383 41 48
2422 39 49
