0 0 0
5 5 0
17 12 1
34 17 2
46 12 3
60 14 4
74 14 5
89 15 6
105 16 7
122 17 8
140 18 9
159 19 10
179 20 11
201 22 12
225 24 13
251 26 14
274 23 15
305 31 16
339 34 17
375 36 18
418 43 19
461 43 20
485 24 21
510 25 22
524 14 23
539 15 24
554 15 25
571 17 26
588 17 27
606 18 28
625 19 29
646 21 30
668 22 31
691 23 32
715 24 33
739 24 34
763 24 35
789 26 36
806 17 37
824 18 38
844 20 39
864 20 40
885 21 41
906 21 42
929 23 43
952 23 44
974 22 45
994 20 46
1017 23 47
1038 21 48
1057 19 49
1076 19 50
1095 19 51
1115 20 52
1135 20 53
1162 27 54
1188 26 55
1216 28 56
1245 29 57
1275 30 58
1306 31 59
