0 0 0
3 3 0
4 1 1
14 10 2
34 20 3
46 12 4
59 13 5
73 14 6
88 15 7
104 16 8
121 17 9
139 18 10
158 19 11
179 21 12
201 22 13
224 23 14
247 23 15
271 24 16
296 25 17
322 26 18
349 27 19
377 28 20
406 29 21
436 30 22
467 31 23
499 32 24
532 33 25
566 34 26
601 35 27
637 36 28
674 37 29
712 38 30
751 39 31
791 40 32
832 41 33
874 42 34
917 43 35
961 44 36
1006 45 37
1052 46 38
1099 47 39
1147 48 40
1196 49 41
1246 50 42
1297 51 43
1349 52 44
1402 53 45
1456 54 46
1511 55 47
1567 56 48
1624 57 49
1682 58 50
1741 59 51
1801 60 52
1862 61 53
1924 62 54
1987 63 55
2051 64 56
2116 65 57
2182 66 58
2249 67 59
