0 0 0
1 1 0
2 1 1
3 1 2
4 1 3
14 10 4
17 3 5
18 1 6
19 1 7
20 1 8
21 1 9
22 1 10
33 11 11
45 12 12
58 13 13
72 14 14
87 15 15
103 16 16
120 17 17
138 18 18
157 19 19
177 20 20
198 21 21
220 22 22
244 24 23
269 25 24
296 27 25
324 28 26
354 30 27
385 31 28
418 33 29
452 34 30
487 35 31
524 37 32
561 37 33
600 39 34
640 40 35
682 42 36
725 43 37
770 45 38
816 46 39
863 47 40
909 46 41
959 50 42
1010 51 43
1063 53 44
1118 55 45
1173 55 46
1230 57 47
1287 57 48
1346 59 49
1372 26 50
1373 1 51
1373 0 52
