0 0 0
20 20 0
34 14 1
46 12 2
59 13 3
73 14 4
88 15 5
104 16 6
121 17 7
139 18 8
158 19 9
179 21 10
201 22 11
224 23 12
249 25 13
275 26 14
303 28 15
332 29 16
363 31 17
395 32 18
428 33 19
463 35 20
499 36 21
536 37 22
573 37 23
612 39 24
653 41 25
696 43 26
741 45 27
787 46 28
833 46 29
881 48 30
931 50 31
981 50 32
1031 50 33
1084 53 34
1139 55 35
1194 55 36
1249 55 37
1305 56 38
1364 59 39
1426 62 40
1489 63 41
1550 61 42
1615 65 43
1678 63 44
1745 67 45
1814 69 46
1884 70 47
1954 70 48
2026 72 49
