0 0 0
4 4 0
15 11 1
26 11 2
34 8 3
46 12 4
59 13 5
73 14 6
88 15 7
104 16 8
121 17 9
139 18 10
157 18 11
176 19 12
196 20 13
217 21 14
239 22 15
262 23 16
286 24 17
311 25 18
337 26 19
364 27 20
392 28 21
421 29 22
451 30 23
482 31 24
515 33 25
549 34 26
584 35 27
620 36 28
657 37 29
695 38 30
734 39 31
774 40 32
815 41 33
857 42 34
900 43 35
944 44 36
989 45 37
1035 46 38
1082 47 39
1130 48 40
1179 49 41
1229 50 42
1279 50 43
1332 53 44
1384 52 45
1438 54 46
1493 55 47
1549 56 48
1606 57 49
1664 58 50
1723 59 51
1783 60 52
1844 61 53
1906 62 54
1971 65 55
2035 64 56
2100 65 57
2166 66 58
2233 67 59
