0 0 0
19 19 0
44 25 1
84 40 2
137 53 3
183 46 4
225 42 5
270 45 6
317 47 7
362 45 8
404 42 9
447 43 10
490 43 11
535 45 12
579 44 13
622 43 14
666 44 15
709 43 16
752 43 17
796 44 18
839 43 19
883 44 20
926 43 21
969 43 22
1013 44 23
1056 43 24
1099 43 25
1143 44 26
1186 43 27
1228 42 28
1272 44 29
1316 44 30
1359 43 31
1403 44 32
1446 43 33
1489 43 34
1536 47 35
1576 40 36
1609 33 37
1642 33 38
1676 34 39
1711 35 40
1745 34 41
1779 34 42
1813 34 43
1847 34 44
1882 35 45
1915 33 46
1950 35 47
1984 34 48
2018 34 49
