0 0 0
7 7 0
24 17 1
51 27 2
59 8 3
64 5 4
70 6 5
87 17 6
119 32 7
165 46 8
256 91 9
370 114 10
489 119 11
611 122 12
736 125 13
863 127 14
995 132 15
1129 134 16
1262 133 17
1396 134 18
1530 134 19
1663 133 20
1797 134 21
1934 137 22
2069 135 23
2206 137 24
2344 138 25
2566 222 26
2705 139 27
2929 224 28
3066 137 29
3209 143 30
3345 136 31
3486 141 32
3627 141 33
3766 139 34
3956 190 35
4097 141 36
4247 150 37
4391 144 38
4536 145 39
4759 223 40
4923 164 41
5105 182 42
5325 220 43
5426 101 44
5426 0 45
