0 0 0
15 15 0
25 10 1
36 11 2
48 12 3
61 13 4
75 14 5
90 15 6
106 16 7
123 17 8
141 18 9
160 19 10
181 21 11
203 22 12
226 23 13
251 25 14
278 27 15
306 28 16
335 29 17
366 31 18
398 32 19
431 33 20
466 35 21
502 36 22
539 37 23
578 39 24
619 41 25
661 42 26
704 43 27
749 45 28
795 46 29
842 47 30
891 49 31
942 51 32
994 52 33
1047 53 34
1102 55 35
1159 57 36
1217 58 37
1276 59 38
1337 61 39
1400 63 40
1464 64 41
1529 65 42
1596 67 43
1664 68 44
1733 69 45
1804 71 46
1876 72 47
1949 73 48
2025 76 49
