0 0 0
5 5 0
15 10 1
33 18 2
45 12 3
58 13 4
72 14 5
87 15 6
103 16 7
120 17 8
138 18 9
157 19 10
178 21 11
200 22 12
223 23 13
248 25 14
275 27 15
303 28 16
332 29 17
363 31 18
395 32 19
428 33 20
463 35 21
499 36 22
536 37 23
575 39 24
616 41 25
658 42 26
701 43 27
746 45 28
792 46 29
839 47 30
888 49 31
939 51 32
991 52 33
1044 53 34
1099 55 35
1156 57 36
1214 58 37
1273 59 38
1334 61 39
1397 63 40
1461 64 41
1526 65 42
1593 67 43
1661 68 44
1730 69 45
1801 71 46
1873 72 47
1946 73 48
2022 76 49
2099 77 50
2178 79 51
2258 80 52
2262 4 53
2262 0 54
