0 0 0
4 4 0
6 2 1
10 4 2
16 6 3
22 6 4
29 7 5
38 9 6
48 10 7
59 11 8
71 12 9
85 14 10
101 16 11
118 17 12
136 18 13
156 20 14
177 21 15
199 22 16
221 22 17
245 24 18
270 25 19
296 26 20
323 27 21
352 29 22
383 31 23
413 30 24
445 32 25
478 33 26
511 33 27
547 36 28
581 34 29
618 37 30
659 41 31
701 42 32
742 41 33
786 44 34
829 43 35
866 37 36
909 43 37
954 45 38
1004 50 39
1052 48 40
1101 49 41
1151 50 42
1204 53 43
1254 50 44
1300 46 45
1354 54 46
1409 55 47
1465 56 48
1523 58 49
1578 55 50
1640 62 51
1686 46 52
1686 0 53
