0 0 0
7 7 0
15 8 1
22 7 2
29 7 3
37 8 4
46 9 5
56 10 6
67 11 7
80 13 8
95 15 9
111 16 10
128 17 11
147 19 12
167 20 13
188 21 14
210 22 15
233 23 16
258 25 17
285 27 18
313 28 19
342 29 20
373 31 21
405 32 22
438 33 23
473 35 24
509 36 25
546 37 26
585 39 27
626 41 28
668 42 29
711 43 30
756 45 31
802 46 32
849 47 33
898 49 34
949 51 35
1001 52 36
1055 54 37
1110 55 38
1167 57 39
1225 58 40
1284 59 41
1344 60 42
1406 62 43
1470 64 44
1535 65 45
1602 67 46
1670 68 47
1739 69 48
1810 71 49
1882 72 50
1955 73 51
1973 18 52
1974 1 53
1974 0 54
