0 0 0
4 4 0
7 3 1
12 5 2
18 6 3
21 3 4
22 1 5
24 2 6
25 1 7
26 1 8
27 1 9
28 1 10
36 8 11
45 9 12
54 9 13
64 10 14
75 11 15
87 12 16
100 13 17
113 13 18
127 14 19
142 15 20
158 16 21
175 17 22
193 18 23
212 19 24
232 20 25
253 21 26
275 22 27
298 23 28
322 24 29
349 27 30
377 28 31
405 28 32
434 29 33
464 30 34
495 31 35
528 33 36
562 34 37
596 34 38
630 34 39
668 38 40
706 38 41
745 39 42
784 39 43
826 42 44
870 44 45
914 44 46
960 46 47
1011 51 48
1063 52 49
1116 53 50
1172 56 51
1230 58 52
1292 62 53
1354 62 54
1416 62 55
1483 67 56
1550 67 57
1621 71 58
1692 71 59
