0 0 0
5 5 0
6 1 1
7 1 2
12 5 3
17 5 4
22 5 5
24 2 6
25 1 7
26 1 8
27 1 9
28 1 10
29 1 11
35 6 12
42 7 13
50 8 14
59 9 15
70 11 16
82 12 17
95 13 18
110 15 19
126 16 20
143 17 21
162 19 22
182 20 23
203 21 24
226 23 25
250 24 26
275 25 27
302 27 28
331 29 29
361 30 30
392 31 31
423 31 32
457 34 33
492 35 34
529 37 35
569 40 36
613 44 37
661 48 38
715 54 39
774 59 40
839 65 41
908 69 42
980 72 43
1055 75 44
1133 78 45
1214 81 46
1239 25 47
1275 36 48
1312 37 49
1352 40 50
1394 42 51
1438 44 52
1487 49 53
1537 50 54
1591 54 55
1647 56 56
1705 58 57
1766 61 58
1829 63 59
