0 0 0
3 3 0
17 14 1
30 13 2
42 12 3
55 13 4
69 14 5
84 15 6
100 16 7
117 17 8
135 18 9
154 19 10
174 20 11
195 21 12
218 23 13
242 24 14
266 24 15
291 25 16
318 27 17
347 29 18
376 29 19
408 32 20
441 33 21
475 34 22
507 32 23
540 33 24
577 37 25
615 38 26
655 40 27
697 42 28
738 41 29
783 45 30
827 44 31
873 46 32
919 46 33
966 47 34
1018 52 35
1066 48 36
1118 52 37
1170 52 38
1222 52 39
1276 54 40
1327 51 41
1382 55 42
1443 61 43
1501 58 44
1560 59 45
1620 60 46
1682 62 47
1743 61 48
1805 62 49
1869 64 50
1933 64 51
1997 64 52
2059 62 53
2116 57 54
2174 58 55
2238 64 56
2302 64 57
2366 64 58
2429 63 59
