0 0 0
4 4 0
15 11 1
26 11 2
38 12 3
50 12 4
64 14 5
78 14 6
93 15 7
109 16 8
126 17 9
144 18 10
163 19 11
183 20 12
204 21 13
226 22 14
249 23 15
273 24 16
298 25 17
324 26 18
351 27 19
379 28 20
408 29 21
438 30 22
470 32 23
503 33 24
537 34 25
572 35 26
608 36 27
645 37 28
682 37 29
721 39 30
761 40 31
801 40 32
842 41 33
884 42 34
927 43 35
971 44 36
1016 45 37
1062 46 38
1109 47 39
1157 48 40
1206 49 41
1258 52 42
1309 51 43
1362 53 44
1417 55 45
1472 55 46
1528 56 47
1585 57 48
1643 58 49
1702 59 50
1762 60 51
1823 61 52
1885 62 53
1948 63 54
2012 64 55
2077 65 56
2143 66 57
2210 67 58
2278 68 59
