0 0 0
4 4 0
9 5 1
17 8 2
19 2 3
25 6 4
32 7 5
40 8 6
49 9 7
59 10 8
70 11 9
82 12 10
95 13 11
109 14 12
124 15 13
140 16 14
157 17 15
175 18 16
194 19 17
214 20 18
235 21 19
257 22 20
280 23 21
304 24 22
329 25 23
355 26 24
382 27 25
410 28 26
439 29 27
469 30 28
500 31 29
532 32 30
564 32 31
597 33 32
631 34 33
666 35 34
702 36 35
739 37 36
777 38 37
817 40 38
859 42 39
903 44 40
949 46 41
999 50 42
1052 53 43
1104 52 44
1158 54 45
1214 56 46
1272 58 47
1332 60 48
1393 61 49
1457 64 50
1523 66 51
1591 68 52
1661 70 53
1733 72 54
1807 74 55
1883 76 56
1961 78 57
2041 80 58
2123 82 59
