0 0 0
4 4 0
6 2 1
12 6 2
18 6 3
25 7 4
32 7 5
41 9 6
51 10 7
62 11 8
74 12 9
88 14 10
105 17 11
123 18 12
142 19 13
163 21 14
186 23 15
207 21 16
229 22 17
252 23 18
277 25 19
303 26 20
331 28 21
359 28 22
389 30 23
421 32 24
455 34 25
489 34 26
525 36 27
563 38 28
602 39 29
643 41 30
689 46 31
737 48 32
792 55 33
850 58 34
911 61 35
977 66 36
1048 71 37
1122 74 38
1202 80 39
1283 81 40
1317 34 41
1354 37 42
1392 38 43
1430 38 44
1474 44 45
1520 46 46
1569 49 47
1621 52 48
1674 53 49
1729 55 50
1787 58 51
1847 60 52
1910 63 53
1975 65 54
2043 68 55
2115 72 56
2188 73 57
2265 77 58
2343 78 59
