0 0 0
3 3 0
4 1 1
5 1 2
6 1 3
24 18 4
30 6 5
31 1 6
67 36 7
119 52 8
202 83 9
283 81 10
366 83 11
423 57 12
482 59 13
541 59 14
600 59 15
659 59 16
722 63 17
783 61 18
842 59 19
901 59 20
962 61 21
1021 59 22
1080 59 23
1139 59 24
1198 59 25
1257 59 26
1314 57 27
1372 58 28
1429 57 29
1490 61 30
1549 59 31
1606 57 32
1663 57 33
1720 57 34
1779 59 35
1835 56 36
1891 56 37
1947 56 38
2004 57 39
2059 55 40
2116 57 41
2157 41 42
2196 39 43
2235 39 44
2276 41 45
2315 39 46
2354 39 47
2395 41 48
2436 41 49
