0 0 0
3 3 0
5 2 1
10 5 2
15 5 3
20 5 4
26 6 5
31 5 6
32 1 7
33 1 8
35 2 9
36 1 10
37 1 11
38 1 12
46 8 13
54 8 14
63 9 15
73 10 16
84 11 17
96 12 18
109 13 19
123 14 20
138 15 21
154 16 22
171 17 23
189 18 24
208 19 25
228 20 26
249 21 27
271 22 28
294 23 29
318 24 30
343 25 31
369 26 32
396 27 33
424 28 34
453 29 35
483 30 36
514 31 37
546 32 38
579 33 39
613 34 40
648 35 41
684 36 42
721 37 43
759 38 44
798 39 45
839 41 46
882 43 47
927 45 48
974 47 49
1023 49 50
1074 51 51
1127 53 52
1182 55 53
1239 57 54
1298 59 55
1359 61 56
1422 63 57
1487 65 58
1553 66 59
