0 0 0
4 4 0
14 10 1
32 18 2
44 12 3
57 13 4
71 14 5
86 15 6
102 16 7
119 17 8
137 18 9
156 19 10
176 20 11
197 21 12
219 22 13
243 24 14
268 25 15
295 27 16
322 27 17
351 29 18
381 30 19
412 31 20
445 33 21
480 35 22
515 35 23
553 38 24
592 39 25
633 41 26
675 42 27
717 42 28
758 41 29
803 45 30
850 47 31
898 48 32
949 51 33
1001 52 34
1054 53 35
1108 54 36
1165 57 37
1221 56 38
1280 59 39
1340 60 40
1400 60 41
1463 63 42
1528 65 43
1593 65 44
1658 65 45
1724 66 46
1791 67 47
1861 70 48
1933 72 49
2001 68 50
2075 74 51
2148 73 52
2225 77 53
2263 38 54
2263 0 55
