0 0 0
4 4 0
10 6 1
17 7 2
24 7 3
34 10 4
45 11 5
58 13 6
74 16 7
92 18 8
114 22 9
138 24 10
165 27 11
194 29 12
225 31 13
259 34 14
297 38 15
332 35 16
478 146 17
506 28 18
533 27 19
560 27 20
592 32 21
624 32 22
659 35 23
742 83 24
784 42 25
826 42 26
870 44 27
920 50 28
965 45 29
1009 44 30
1057 48 31
1104 47 32
1155 51 33
1209 54 34
1270 61 35
1329 59 36
1391 62 37
1458 67 38
1518 60 39
1583 65 40
1649 66 41
1713 64 42
1777 64 43
1840 63 44
1902 62 45
1968 66 46
2034 66 47
2087 53 48
2141 54 49
