0 0 0
4 4 0
6 2 1
17 11 2
23 6 3
29 6 4
41 12 5
53 12 6
66 13 7
80 14 8
95 15 9
111 16 10
128 17 11
147 19 12
167 20 13
189 22 14
212 23 15
236 24 16
262 26 17
289 27 18
318 29 19
348 30 20
380 32 21
413 33 22
447 34 23
483 36 24
520 37 25
558 38 26
598 40 27
639 41 28
681 42 29
725 44 30
771 46 31
818 47 32
866 48 33
916 50 34
967 51 35
1019 52 36
1073 54 37
1128 55 38
1186 58 39
1246 60 40
1307 61 41
1369 62 42
1433 64 43
1498 65 44
1564 66 45
1632 68 46
1702 70 47
1773 71 48
1845 72 49
1919 74 50
1995 76 51
2071 76 52
2149 78 53
2228 79 54
2309 81 55
2349 40 56
2386 37 57
2424 38 58
2463 39 59
