0 0 0
4 4 0
6 2 1
11 5 2
20 9 3
23 3 4
25 2 5
27 2 6
35 8 7
43 8 8
52 9 9
62 10 10
73 11 11
85 12 12
98 13 13
112 14 14
127 15 15
142 15 16
159 17 17
177 18 18
197 20 19
217 20 20
239 22 21
262 23 22
286 24 23
311 25 24
338 27 25
366 28 26
395 29 27
425 30 28
457 32 29
491 34 30
528 37 31
566 38 32
604 38 33
639 35 34
675 36 35
712 37 36
749 37 37
787 38 38
826 39 39
872 46 40
918 46 41
963 45 42
1010 47 43
1064 54 44
1120 56 45
1176 56 46
1232 56 47
1295 63 48
1366 71 49
1433 67 50
1505 72 51
1579 74 52
1655 76 53
1735 80 54
1811 76 55
1888 77 56
1967 79 57
2054 87 58
2099 45 59
