0 0 0
3 3 0
4 1 1
5 1 2
10 5 3
19 9 4
26 7 5
28 2 6
31 3 7
33 2 8
38 5 9
45 7 10
54 9 11
65 11 12
77 12 13
92 15 14
109 17 15
127 18 16
149 22 17
172 23 18
198 26 19
230 32 20
264 34 21
294 30 22
331 37 23
370 39 24
411 41 25
457 46 26
504 47 27
549 45 28
599 50 29
653 54 30
703 50 31
759 56 32
821 62 33
881 60 34
946 65 35
1016 70 36
1084 68 37
1158 74 38
1237 79 39
1318 81 40
1342 24 41
1370 28 42
1403 33 43
1442 39 44
1484 42 45
1528 44 46
1574 46 47
1620 46 48
1673 53 49
1728 55 50
1783 55 51
1844 61 52
1909 65 53
1974 65 54
2050 76 55
2135 85 56
2224 89 57
2312 88 58
2409 97 59
