0 0 0
4 4 0
11 7 1
19 8 2
21 2 3
27 6 4
34 7 5
42 8 6
51 9 7
61 10 8
72 11 9
84 12 10
97 13 11
111 14 12
126 15 13
142 16 14
159 17 15
177 18 16
196 19 17
216 20 18
237 21 19
259 22 20
282 23 21
306 24 22
331 25 23
357 26 24
384 27 25
412 28 26
441 29 27
471 30 28
502 31 29
534 32 30
567 33 31
601 34 32
636 35 33
672 36 34
709 37 35
747 38 36
786 39 37
830 44 38
873 43 39
918 45 40
965 47 41
1014 49 42
1065 51 43
1118 53 44
1173 55 45
1229 56 46
1287 58 47
1347 60 48
1409 62 49
1473 64 50
1539 66 51
1607 68 52
1677 70 53
1749 72 54
1823 74 55
1899 76 56
1977 78 57
2057 80 58
2139 82 59
