0 0 0
4 4 0
5 1 1
6 1 2
26 20 3
37 11 4
82 45 5
150 68 6
234 84 7
318 84 8
402 84 9
481 79 10
568 87 11
625 57 12
682 57 13
739 57 14
796 57 15
855 59 16
914 59 17
973 59 18
1032 59 19
1091 59 20
1150 59 21
1209 59 22
1266 57 23
1323 57 24
1382 59 25
1441 59 26
1500 59 27
1559 59 28
1618 59 29
1677 59 30
1738 61 31
1799 61 32
1860 61 33
1921 61 34
1980 59 35
2027 47 36
2070 43 37
2115 45 38
2156 41 39
2199 43 40
2244 45 41
2289 45 42
2332 43 43
2375 43 44
2420 45 45
2465 45 46
2510 45 47
2553 43 48
2596 43 49
