0 0 0
3 3 0
5 2 1
25 20 2
33 8 3
78 45 4
146 68 5
230 84 6
312 82 7
396 84 8
473 77 9
532 59 10
591 59 11
648 57 12
707 59 13
768 61 14
825 57 15
884 59 16
943 59 17
1000 57 18
1057 57 19
1116 59 20
1175 59 21
1232 57 22
1289 57 23
1346 57 24
1405 59 25
1466 61 26
1523 57 27
1580 57 28
1639 59 29
1694 55 30
1753 59 31
1810 57 32
1869 59 33
1926 57 34
1984 58 35
2041 57 36
2096 55 37
2135 39 38
2176 41 39
2217 41 40
2256 39 41
2295 39 42
2336 41 43
2377 41 44
2418 41 45
2459 41 46
2500 41 47
2539 39 48
2580 41 49
