id                      url                                                 name                  trials rtts    fname    type description
0   http://apnmedia.ask.com/media/toolbar/utilities/ToolbarRemover.exe   apnmedia                   10    50    108.csv    1    1_2_BDP
1   https://asset.kompas.com/data/2017/widget/css/ace-rev.css            asset.kompass              10    50    184.csv    1
2   http://archives.ndtv.com/articles/2012-03.html                       archives.ndtv              10    50    405.csv    1
3   http://mobile.gmarket.co.kr/                                         mobile.gmarket             10    50    555.csv    1
4   http://stock.17ok.com/news/335/2007/1018/219659.html                 stock.17ok                 10    50    255.csv    2    sawtooth
5   https://community.weebly.com/t5/ideas/ideaprintpage/blog-id          community.weebly           10    50    345.csv    2
6   https://musik.kapanlagi.com/                                         music.kapanlagi            10    50    565.csv    2
7   https://marketing.rbc.ru/landings/36/                                marketing.rbc.ru           10    50    588.csv    2
8   https://archiveofourown.org/works/14437563?view_full_work=true       archiveofourown            10    50    800.csv    2
9   http://img04.tnt-online.ru/Documents/Icon2/0b/ds0biext2y9v.png        img04.tnt-online.ru       10    50    860.csv    2
10  https://badoo.com/                                                   badoo                      10    40    979.csv    2
11  https://www.xvideos.com/rss/del.xml                                  xvideos                    10    50    52.csv     3     linear
12  https://https://www.uol.com.br/                                      uol.br                     10    50    158.csv    4     others
13  http://adf.ly/securimage/securimage_play.php?id=5ced5246be3f4        adf.ly                     10    50    268.csv    4
14  https://ashish05shanky.wordpress.com/                                ashish05shanky             10    50    376.csv    4
15  https://www.cdstm.cn/videos/Tops/American/201502/t20150207_467173.html cdstm.cn                 10    50    437.csv    4
16  https://a5.behance.net/0fc1ba05c7866df5638db509c8f9061b991f4631/css/networki.css?cb=264615658 a5.behance 10 50 459.csv 4
17  https://tarifbestellen.t-online.de/telekom-festnetz-tarife-magenta-zuhause-5768?pk_campaign=startseite-tp-a-z-liste-entertain&pk_kwd=startseite-tp-a-z-liste-entertain&trackid=startseite-tp-a-z-liste-entertain&cookie-check=1558633674 tarifbestellen 10 50 650.csv 4
18  https://www.uol.com.br/       uol.br    10 50 158.csv 5
19  https://alwafd.news/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%88%D8%AA%D9%82%D8%A7%D8%B1%D9%8A%D8%B1/2381983-%D8%B1%D8%A6%D9%8A%D8%B3-%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D9%86%D9%88%D8%A7%D8%A8-%D9%8A%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%AC%D9%88%D8%B1%D8%AC-%D9%81%D9%8A%D8%B1%D9%8A-%D8%B1%D8%A6%D9%8A%D8%B3-%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%B4%D9%8A%D9%88%D8%AE-%D8%A7%D9%84%D9%83%D9%86%D8%AF%D9%8A alwafd 10 50 238.csv 5
20  https://wepresent.wetransfer.com/special/bjork/static/bjork_insta.jpg  wepreset.wetransfer    10 50 173.csv 5
21  https://gfycat.com/featured/reactions gfycat 10 50 342.csv 5
22  https://2018elections.tvbs.com.tw/vote.html 2018elections.tvbs  10 50 344.csv 5
23  https://wac-cdn.atlassian.com/assets/build/css/wpl-main.min.css?cdnVersion=360 wac-cdn.atlassian
24  https://fortnite.op.gg fortnite.op.gg   10 50 421.csv 5
