0 0 0
1 1 1 emu 10000
3 2 2 emu 10000
4 1 3 emu 10000
5 1 4 emu 10000
6 1 5 emu 10000
23 7 6 emu 10000
26 2 7 emu 10000
27 1 8 emu 10000
55 27 9 emu 10000
96 41 10 emu 10000
183 85 11 emu 10000
197 12 12 emu 98
356 159 13 emu 98
519 160 14 emu 98
683 162 15 emu 98
848 162 16 emu 98
1037 189 17 emu 98
1184 146 18 emu 98
1285 101 19 emu 98
1458 136 20 emu 98
1560 101 21 emu 98
1730 133 22 emu 98
1853 122 23 emu 98
1960 103 24 emu 98
2104 117 25 emu 98
2240 124 26 emu 98
2370 126 27 emu 98
